Date,Open,High,Low,Close,Adj Close,Volume
2005-04-08,984.66,1003.7,979.53,1003.45,1003.45,14762526
2005-04-11,1003.88,1008.73,992.77,995.42,995.42,15936066
2005-04-12,993.71,993.71,978.2,978.7,978.7,10226193
2005-04-13,987.95,1006.5,987.95,1000.9,1000.9,16071687
2005-04-14,1004.64,1006.42,985.58,986.97,986.97,12945710
2005-04-15,982.61,982.61,971.93,974.08,974.08,10408955
2005-04-18,970.91,970.91,958.65,963.77,963.77,8598400
2005-04-19,962.92,968.87,957.91,965.89,965.89,9212623
2005-04-20,964.15,964.15,946.2,950.87,950.87,8850705
2005-04-21,948.86,955.55,938.59,943.98,943.98,9946145
2005-04-22,942.91,947.91,934.96,939.1,939.1,10691884
2005-04-25,935.99,935.99,920.16,930.07,930.07,11470478
2005-04-26,928.43,939.7,924.66,937.08,937.08,11690471
2005-04-27,938.57,938.91,925.9,926.6,926.6,10780611
2005-04-28,923.53,945.5,914.83,942.07,942.07,14343486
2005-04-29,940.81,942.45,929.81,932.4,932.4,11235419
2005-05-09,934.65,937.39,909.17,909.17,909.17,8529115
2005-05-10,905.54,913.39,892.31,913.08,913.08,10494331
2005-05-11,911.84,917.22,900.44,901.85,901.85,9042047
2005-05-12,899.97,900.06,883.51,885.82,885.82,10228720
2005-05-13,883.51,898.51,875.58,887.54,887.54,11244906
2005-05-16,885.39,885.39,869.33,875.27,875.27,8224288
2005-05-17,873.08,888.28,868.21,881.46,881.46,8772273
2005-05-18,881.14,890.4,871.82,883.2,883.2,7878610
2005-05-19,882.84,888.02,871.29,884.17,884.17,8149583
2005-05-20,883.51,891.02,879.18,882.76,882.76,7226676
2005-05-23,880.28,880.28,862.1,863.34,863.34,7279795
2005-05-24,861.2,871.77,855.59,868.46,868.46,9206929
2005-05-25,867.66,876.3,861.66,868.45,868.45,7238556
2005-05-26,867.76,872.84,854.96,857.33,857.33,6622786
2005-05-27,855.59,864.96,848.4,849.51,849.51,7749983
2005-05-30,847.63,858.46,842.1,855.61,855.61,6971583
2005-05-31,856.56,863.2,853.29,855.95,855.95,7047821
2005-06-01,855.21,857.66,836.04,837.53,837.53,7902302
2005-06-02,835.47,835.49,812.99,818.38,818.38,9508657
2005-06-03,816.55,823.86,807.97,818.03,818.03,7936056
2005-06-06,816.73,839.15,807.78,839.0,839.0,9009185
2005-06-07,841.58,858.09,835.18,837.28,837.28,13067068
2005-06-08,848.54,908.83,844.47,905.77,905.77,32907839
2005-06-09,907.57,925.36,895.04,912.6,912.6,33141840
2005-06-10,911.94,911.94,889.1,894.56,894.56,22391502
2005-06-13,895.0,900.18,877.69,892.96,892.96,15628002
2005-06-14,895.39,905.41,882.86,883.54,883.54,14343570
2005-06-15,881.21,881.25,865.14,866.83,866.83,11454056
2005-06-16,866.66,879.49,861.83,879.24,879.24,11049685
2005-06-17,883.6,888.08,876.04,880.34,880.34,14963009
2005-06-20,881.62,906.48,872.56,906.26,906.26,18992082
2005-06-21,906.31,906.31,894.39,896.17,896.17,12774784
2005-06-22,894.77,901.24,891.93,900.65,900.65,10478134
2005-06-23,900.06,904.9,892.83,893.57,893.57,9509308
2005-06-24,892.06,898.67,888.4,898.3,898.3,8918739
2005-06-27,904.21,920.65,904.21,916.04,916.04,16545402
2005-06-28,913.48,913.48,901.21,903.72,903.72,10402219
2005-06-29,906.75,907.57,898.08,898.9,898.9,10806746
2005-06-30,897.1,897.1,876.88,878.69,878.69,10855472
2005-07-01,875.93,875.93,858.37,859.49,859.49,10094597
2005-07-04,855.32,856.1,842.81,855.93,855.93,8840277
2005-07-05,853.68,856.74,845.36,849.68,849.68,7992688
2005-07-06,850.25,854.45,838.61,842.56,842.56,6898314
2005-07-07,841.75,848.02,839.28,844.73,844.73,5962465
2005-07-08,842.62,842.62,827.23,829.49,829.49,7221000
2005-07-11,837.86,850.66,822.52,824.1,824.1,8439006
2005-07-12,821.91,854.29,818.86,851.82,851.82,14989871
2005-07-13,850.47,851.95,841.86,846.23,846.23,9398842
2005-07-14,844.94,856.09,843.18,849.59,849.59,9361968
2005-07-15,849.87,854.6,837.78,841.0,841.0,8889563
2005-07-18,839.22,840.01,829.68,832.99,832.99,8500006
2005-07-19,831.5,840.14,829.28,835.61,835.61,7891818
2005-07-20,835.3,844.71,832.14,842.64,842.64,8526473
2005-07-21,842.75,843.99,835.76,843.99,843.99,8366101
2005-07-22,847.54,867.16,842.99,859.69,859.69,21630000
2005-07-25,858.33,860.95,854.28,856.86,856.86,11816080
2005-07-26,856.19,880.03,856.19,876.48,876.48,21826776
2005-07-27,876.94,894.03,876.04,894.01,894.01,20409537
2005-07-28,893.88,901.0,888.5,890.89,890.89,20622527
2005-07-29,889.41,892.29,883.38,888.16,888.16,13397406
2005-08-01,887.72,897.28,885.85,891.61,891.61,11808309
2005-08-02,892.13,903.65,888.4,903.6,903.6,14292547
2005-08-03,905.18,919.28,903.76,909.57,909.57,25786298
2005-08-04,907.42,909.83,901.62,904.15,904.15,14519256
2005-08-05,904.04,923.81,903.94,923.8,923.8,19123765
2005-08-08,926.57,933.15,923.57,927.47,927.47,21608944
2005-08-09,926.97,933.39,919.11,933.09,933.09,19532907
2005-08-10,933.26,940.37,926.28,940.37,940.37,21515763
2005-08-11,940.78,953.99,939.39,953.99,953.99,27073666
2005-08-12,954.72,959.27,933.98,938.32,938.32,29168144
2005-08-15,937.71,954.5,936.11,954.5,954.5,20430813
2005-08-16,955.27,959.34,939.92,945.06,945.06,23861818
2005-08-17,943.41,953.34,930.33,953.01,953.01,21457769
2005-08-18,954.16,956.84,919.12,920.67,920.67,31855327
2005-08-19,918.09,927.32,910.08,923.04,923.04,22242679
2005-08-22,923.11,933.35,919.22,931.67,931.67,16031010
2005-08-23,931.81,931.81,915.03,923.41,923.41,15406488
2005-08-24,923.56,935.23,923.56,930.65,930.65,15959747
2005-08-25,930.97,933.2,920.61,930.12,930.12,16292057
2005-08-26,930.25,930.33,921.84,928.26,928.26,15429804
2005-08-29,928.34,928.34,913.77,917.37,917.37,15462261
2005-08-30,916.09,920.21,912.84,914.88,914.88,12438170
2005-08-31,915.12,928.21,911.51,927.92,927.92,14623630
2005-09-01,928.52,944.95,926.06,944.56,944.56,22306384
2005-09-02,945.98,947.92,941.31,947.87,947.87,18614438
2005-09-05,949.08,952.98,944.63,952.72,952.72,17843318
2005-09-06,953.41,956.3,934.97,936.61,936.61,21222255
2005-09-07,934.99,952.9,932.65,952.76,952.76,19608466
2005-09-08,954.27,958.87,947.71,955.28,955.28,22424393
2005-09-09,955.11,959.9,946.02,949.07,949.07,16219310
2005-09-12,949.78,952.55,945.4,949.51,949.51,11672613
2005-09-13,949.58,963.92,948.13,963.77,963.77,16579431
2005-09-14,964.97,970.26,961.64,970.19,970.19,19958291
2005-09-15,970.58,970.96,965.66,969.6,969.6,16377679
2005-09-16,969.62,970.37,964.28,967.49,967.49,13978571
2005-09-19,967.44,971.99,964.26,971.14,971.14,14737421
2005-09-20,971.38,971.65,957.12,961.92,961.92,18636604
2005-09-21,961.37,961.37,943.82,944.41,944.41,18541895
2005-09-22,942.73,942.73,914.23,923.27,923.27,18115525
2005-09-23,921.51,927.42,914.81,916.15,916.15,11547644
2005-09-26,915.84,919.65,913.61,918.48,918.48,8836241
2005-09-27,918.87,921.13,903.39,904.21,904.21,11086056
2005-09-28,903.33,910.33,901.38,903.72,903.72,8850310
2005-09-29,904.28,915.97,904.28,915.97,915.97,11938978
2005-09-30,916.59,918.66,913.45,917.39,917.39,9001433
2005-10-10,917.21,917.21,906.88,907.32,907.32,7158451
2005-10-11,906.63,919.8,904.04,919.72,919.72,7758295
2005-10-12,920.45,926.09,917.38,923.48,923.48,12208852
2005-10-13,923.43,926.01,916.28,916.5,916.5,10828904
2005-10-14,916.34,917.89,902.81,904.83,904.83,10123940
2005-10-17,903.27,903.27,892.36,897.62,897.62,10552506
2005-10-18,897.37,903.0,895.62,902.37,902.37,11366317
2005-10-19,902.04,907.88,897.04,898.74,898.74,11033048
2005-10-20,898.89,900.13,889.57,899.91,899.91,12608725
2005-10-21,899.65,907.79,897.99,904.41,904.41,11364588
2005-10-24,905.13,908.45,900.23,906.65,906.65,9218982
2005-10-25,905.97,905.97,893.61,894.27,894.27,11213401
2005-10-26,892.62,892.62,873.9,875.82,875.82,12167123
2005-10-27,873.47,879.67,869.72,875.85,875.85,11908588
2005-10-28,875.86,880.21,859.69,867.73,867.73,11973376
2005-10-31,866.62,878.41,866.15,876.28,876.28,10443651
2005-11-01,875.96,875.96,862.69,872.86,872.86,10082745
2005-11-02,873.39,884.94,873.39,882.48,882.48,13104973
2005-11-03,882.19,885.68,872.11,874.58,874.58,12179182
2005-11-04,873.35,878.36,869.68,878.36,878.36,9567310
2005-11-07,877.62,877.62,870.08,877.28,877.28,7713259
2005-11-08,876.43,881.9,870.96,881.52,881.52,10128761
2005-11-09,881.51,884.94,878.68,879.25,879.25,11774405
2005-11-10,878.62,878.62,862.09,862.97,862.97,10853771
2005-11-11,861.22,867.33,857.79,864.79,864.79,9219720
2005-11-14,864.08,864.25,858.34,862.15,862.15,6271674
